#nombre|region|elipsoide|dx|dy|dz|Rx|Ry|Rz|e
Adindan|Burkina Faso|Clarke 1880|-118.000000|-14.000000|218.000000|0.000000|0.000000|0.000000|0.000000
Adindan|Cameroon|Clarke 1880|-134.000000|-2.000000|210.000000|0.000000|0.000000|0.000000|0.000000
Adindan|Ethiopia|Clarke 1880|-165.000000|-11.000000|206.000000|0.000000|0.000000|0.000000|0.000000
Adindan|Mali|Clarke 1880|-123.000000|-20.000000|220.000000|0.000000|0.000000|0.000000|0.000000
Adindan|MEAN Ethiopia; Sudan|Clarke 1880|-166.000000|-15.000000|204.000000|0.000000|0.000000|0.000000|0.000000
Adindan|Senegal|Clarke 1880|-128.000000|-18.000000|224.000000|0.000000|0.000000|0.000000|0.000000
Adindan|Sudan|Clarke 1880|-161.000000|-14.000000|205.000000|0.000000|0.000000|0.000000|0.000000
Afgooye|Somalia|Krassovsky 1940|-43.000000|-163.000000|45.000000|0.000000|0.000000|0.000000|0.000000
Ain el Abd 1970|Bahrain|International 1924|-150.000000|-250.000000|-1.000000|0.000000|0.000000|0.000000|0.000000
Ain el Abd 1970|Saudi Arabia|International 1924|-143.000000|-236.000000|7.000000|0.000000|0.000000|0.000000|0.000000
American Samoa 1962|American Samoa Islands|Clarke 1866|-115.000000|118.000000|426.000000|0.000000|0.000000|0.000000|0.000000
Anna 1 Astro 1965|Cocos Islands|Australian National|-491.000000|-22.000000|435.000000|0.000000|0.000000|0.000000|0.000000
Antigua Island Astro 1943|Antigua (Leeward Islands)|Clarke 1880|-270.000000|13.000000|62.000000|0.000000|0.000000|0.000000|0.000000
Arc 1950|Botswana|Clarke 1880|-138.000000|-105.000000|-289.000000|0.000000|0.000000|0.000000|0.000000
Arc 1950|Burundi|Clarke 1880|-153.000000|-5.000000|-292.000000|0.000000|0.000000|0.000000|0.000000
Arc 1950|Lesotho|Clarke 1880|-125.000000|-108.000000|-295.000000|0.000000|0.000000|0.000000|0.000000
Arc 1950|Malawi|Clarke 1880|-161.000000|-73.000000|-317.000000|0.000000|0.000000|0.000000|0.000000
Arc 1950|MEAN Botswana; Lesotho; Malawi|Clarke 1880|-143.000000|-90.000000|-294.000000|0.000000|0.000000|0.000000|0.000000
Arc 1950|MEAN Swaziland; Zaire; Zambia; Zimbabwe|Clarke 1880|-143.000000|-90.000000|-294.000000|0.000000|0.000000|0.000000|0.000000
Arc 1950|Swaziland|Clarke 1880|-134.000000|-105.000000|-295.000000|0.000000|0.000000|0.000000|0.000000
Arc 1950|Zaire|Clarke 1880|-169.000000|-19.000000|-278.000000|0.000000|0.000000|0.000000|0.000000
Arc 1950|Zambia|Clarke 1880|-147.000000|-74.000000|-283.000000|0.000000|0.000000|0.000000|0.000000
Arc 1950|Zimbabwe|Clarke 1880|-142.000000|-96.000000|-293.000000|0.000000|0.000000|0.000000|0.000000
